iter	Passed	Remaining
0	56	28250
1	103	25658
2	150	24955
3	214	26562
4	282	27994
5	330	27195
6	393	27744
7	441	27170
8	498	27187
9	575	28219
10	628	27921
11	677	27560
12	727	27264
13	800	27779
14	890	28782
15	952	28827
16	1019	28974
17	1078	28873
18	1161	29396
19	1228	29490
20	1280	29206
21	1326	28826
22	1377	28562
23	1439	28558
24	1485	28222
25	1535	28000
26	1584	27762
27	1630	27489
28	1678	27259
29	1750	27429
30	1798	27211
31	1843	26960
32	1893	26798
33	1955	26797
34	2024	26892
35	2072	26710
36	2118	26509
37	2164	26319
38	2219	26230
39	2277	26194
40	2336	26153
41	2388	26043
42	2437	25910
43	2493	25842
44	2546	25745
45	2599	25657
46	2659	25634
47	2704	25469
48	2761	25416
49	2828	25457
50	2875	25316
51	2934	25284
52	2998	25289
53	3046	25165
54	3100	25086
55	3161	25068
56	3213	24974
57	3264	24878
58	3313	24764
59	3363	24666
60	3409	24538
61	3459	24440
62	3507	24328
63	3572	24335
64	3619	24221
65	3683	24222
66	3733	24128
67	3780	24019
68	3823	23882
69	3881	23843
70	3928	23738
71	3983	23679
72	4032	23584
73	4085	23518
74	4148	23507
75	4195	23407
76	4243	23312
77	4298	23256
78	4348	23171
79	4395	23076
80	4443	22985
81	4484	22862
82	4565	22938
83	4608	22823
84	4657	22737
85	4706	22656
86	4753	22565
87	4806	22503
88	4865	22467
89	4913	22382
90	4960	22293
91	5032	22317
92	5080	22232
93	5126	22140
94	5174	22057
95	5222	21977
96	5267	21885
97	5316	21810
98	5364	21726
99	5422	21691
100	5520	21808
101	5568	21729
102	5617	21651
103	5671	21594
104	5719	21517
105	5766	21435
106	5819	21373
107	5875	21327
108	5923	21249
109	5972	21173
110	6019	21094
111	6079	21060
112	6128	20988
113	6178	20918
114	6224	20838
115	6273	20768
116	6433	21058
117	6527	21133
118	6582	21073
119	6632	21001
120	6688	20948
121	6754	20928
122	6802	20848
123	6843	20750
124	6892	20677
125	6964	20672
126	7016	20607
127	7074	20559
128	7226	20782
129	7281	20724
130	7353	20712
131	7407	20651
132	7552	20841
133	7611	20790
134	7703	20828
135	7995	21398
136	8045	21316
137	8338	21873
138	8395	21804
139	8449	21726
140	8511	21670
141	8631	21760
142	8688	21691
143	8743	21617
144	8798	21542
145	8851	21461
146	9062	21763
147	9238	21971
148	9288	21880
149	9347	21810
150	9473	21895
151	9517	21789
152	9534	21624
153	9553	21463
154	9567	21294
155	9581	21127
156	9594	20960
157	9607	20795
158	9620	20631
159	9639	20483
160	9657	20334
161	9677	20191
162	9708	20071
163	9755	19986
164	9772	19842
165	9801	19720
166	9821	19584
167	9841	19449
168	9866	19325
169	9887	19192
170	9902	19052
171	9920	18918
172	9950	18807
173	9973	18686
174	10002	18576
175	10105	18602
176	10192	18600
177	10226	18499
178	10261	18401
179	10295	18302
180	10337	18218
181	10470	18294
182	10524	18230
183	10606	18215
184	10663	18156
185	10716	18090
186	10767	18021
187	10856	18016
188	10907	17948
189	10958	17880
190	11128	18004
191	11247	18043
192	11297	17970
193	11477	18103
194	11527	18030
195	11577	17957
196	11626	17882
197	11692	17833
198	11854	17930
199	11914	17872
200	11960	17792
201	12058	17789
202	12106	17712
203	12159	17643
204	12249	17627
205	12590	17969
206	12642	17894
207	12746	17893
208	12797	17818
209	12867	17769
210	12915	17689
211	12967	17616
212	13024	17549
213	13140	17561
214	13190	17484
215	13236	17404
216	13298	17343
217	13348	17267
218	13396	17189
219	13445	17111
220	13498	17041
221	13574	16998
222	13623	16922
223	13673	16847
224	13722	16771
225	13842	16782
226	14089	16945
227	14139	16868
228	14190	16793
229	14362	16860
230	14413	16784
231	14459	16702
232	14509	16626
233	14556	16547
